小区名称,response_id,url,板块名称,区名
新城尚上城,5011000010804,https://sh.ke.com/xiaoqu/5011000010804/,安亭,嘉定
路劲上海派,5011000001614,https://sh.ke.com/xiaoqu/5011000001614/,安亭,嘉定
绿地新里米兰公寓,5011000009648,https://sh.ke.com/xiaoqu/5011000009648/,安亭,嘉定
上海派,5016389543047188,https://sh.ke.com/xiaoqu/5016389543047188/,安亭,嘉定
西上海名邸,5011000010631,https://sh.ke.com/xiaoqu/5011000010631/,安亭,嘉定
大名城名郡,5011000019500,https://sh.ke.com/xiaoqu/5011000019500/,安亭,嘉定
红梅小区(嘉定),5011000014033,https://sh.ke.com/xiaoqu/5011000014033/,安亭,嘉定
西上海御庭,5011000004033,https://sh.ke.com/xiaoqu/5011000004033/,安亭,嘉定
嘉实上城名都(公寓),5011000012550,https://sh.ke.com/xiaoqu/5011000012550/,安亭,嘉定
紫荆四村,5011000011375,https://sh.ke.com/xiaoqu/5011000011375/,安亭,嘉定
安亭中央公园,5011102209274,https://sh.ke.com/xiaoqu/5011102209274/,安亭,嘉定
大众春盛苑,5011000014744,https://sh.ke.com/xiaoqu/5011000014744/,安亭,嘉定
恒大名都,5011000018865,https://sh.ke.com/xiaoqu/5011000018865/,安亭,嘉定
底特律财富天地,5011000009061,https://sh.ke.com/xiaoqu/5011000009061/,安亭,嘉定
芙蓉新村,5011000011553,https://sh.ke.com/xiaoqu/5011000011553/,安亭,嘉定
嘉亭菁苑,5011000004696,https://sh.ke.com/xiaoqu/5011000004696/,安亭,嘉定
万立城,5011000003038,https://sh.ke.com/xiaoqu/5011000003038/,安亭,嘉定
紫荆二村,5011000017572,https://sh.ke.com/xiaoqu/5011000017572/,安亭,嘉定
绿地海域苏河源(一期),5011000004642,https://sh.ke.com/xiaoqu/5011000004642/,安亭,嘉定
玉兰一村,5011000003517,https://sh.ke.com/xiaoqu/5011000003517/,安亭,嘉定
玉兰三村,5011000012525,https://sh.ke.com/xiaoqu/5011000012525/,安亭,嘉定
安亭瑞仕华庭,5011102208835,https://sh.ke.com/xiaoqu/5011102208835/,安亭,嘉定
绿地海域苏河源(二期),5011000019053,https://sh.ke.com/xiaoqu/5011000019053/,安亭,嘉定
