小区名称,response_id,url,板块名称,区名
紫苑小区,5011000013313,https://sh.ke.com/xiaoqu/5011000013313/,奉城,奉贤
绿地风清苑,5011063897298,https://sh.ke.com/xiaoqu/5011063897298/,奉城,奉贤
华盛新苑,5011000014381,https://sh.ke.com/xiaoqu/5011000014381/,奉城,奉贤
新城花屿湾,5011102206635,https://sh.ke.com/xiaoqu/5011102206635/,奉城,奉贤
中建公元名邸(别墅),5011063546716,https://sh.ke.com/xiaoqu/5011063546716/,奉城,奉贤
娜欧佳苑,5011000003368,https://sh.ke.com/xiaoqu/5011000003368/,奉城,奉贤
康碧苑,5011000012781,https://sh.ke.com/xiaoqu/5011000012781/,奉城,奉贤
东大村K区,5011000018774,https://sh.ke.com/xiaoqu/5011000018774/,奉城,奉贤
唐城街25弄,5016389506370425,https://sh.ke.com/xiaoqu/5016389506370425/,奉城,奉贤
奉德苑,5011000014976,https://sh.ke.com/xiaoqu/5011000014976/,奉城,奉贤
中海戈雅园,5020034404098152,https://sh.ke.com/xiaoqu/5020034404098152/,奉城,奉贤
悦城华庭,5020038991809790,https://sh.ke.com/xiaoqu/5020038991809790/,奉城,奉贤
佳源名人公馆,5011063661255,https://sh.ke.com/xiaoqu/5011063661255/,奉城,奉贤
盘龙小区(洪庙),5010909713445084,https://sh.ke.com/xiaoqu/5010909713445084/,奉城,奉贤
水榭兰亭,5010482857816354,https://sh.ke.com/xiaoqu/5010482857816354/,奉城,奉贤
锦苑花园,5011000015915,https://sh.ke.com/xiaoqu/5011000015915/,奉城,奉贤
洪南路214弄,5011000019027,https://sh.ke.com/xiaoqu/5011000019027/,奉城,奉贤
银欣花苑(奉贤),5011000011261,https://sh.ke.com/xiaoqu/5011000011261/,奉城,奉贤
车站新村(奉贤),5011102206634,https://sh.ke.com/xiaoqu/5011102206634/,奉城,奉贤
申丰新村,5011000018656,https://sh.ke.com/xiaoqu/5011000018656/,奉城,奉贤
竹园新村,5011006139445678,https://sh.ke.com/xiaoqu/5011006139445678/,奉城,奉贤
永昌新村,5011000019072,https://sh.ke.com/xiaoqu/5011000019072/,奉城,奉贤
奉馨园,5011000003562,https://sh.ke.com/xiaoqu/5011000003562/,奉城,奉贤
曙光新村(奉城),5011102206888,https://sh.ke.com/xiaoqu/5011102206888/,奉城,奉贤
大宅小区,5011000018761,https://sh.ke.com/xiaoqu/5011000018761/,奉城,奉贤
唐城街26弄,5016389543047521,https://sh.ke.com/xiaoqu/5016389543047521/,奉城,奉贤
四合加苑,5011000010420,https://sh.ke.com/xiaoqu/5011000010420/,奉城,奉贤
奉铭佳苑,5011102206606,https://sh.ke.com/xiaoqu/5011102206606/,奉城,奉贤
上海玫瑰园商贸城,5011000001114,https://sh.ke.com/xiaoqu/5011000001114/,奉城,奉贤
运河新村(洪庙),5018043683506320,https://sh.ke.com/xiaoqu/5018043683506320/,奉城,奉贤
城大新村,5011000003362,https://sh.ke.com/xiaoqu/5011000003362/,奉城,奉贤
中建公元壹号(商业类),5013988684640654,https://sh.ke.com/xiaoqu/5013988684640654/,奉城,奉贤
龙达新苑,5011000001491,https://sh.ke.com/xiaoqu/5011000001491/,奉城,奉贤
城南丽景新苑,5011000012503,https://sh.ke.com/xiaoqu/5011000012503/,奉城,奉贤
奉旺路689弄,5016389495337562,https://sh.ke.com/xiaoqu/5016389495337562/,奉城,奉贤
安全小区,5011000010424,https://sh.ke.com/xiaoqu/5011000010424/,奉城,奉贤
上海箱包城,5011000013513,https://sh.ke.com/xiaoqu/5011000013513/,奉城,奉贤
红旗路12弄,5012879891280767,https://sh.ke.com/xiaoqu/5012879891280767/,奉城,奉贤
头桥一区,509821540057588,https://sh.ke.com/xiaoqu/509821540057588/,奉城,奉贤
洪中路138号,5011000005363,https://sh.ke.com/xiaoqu/5011000005363/,奉城,奉贤
奉城东街23弄,5011102205815,https://sh.ke.com/xiaoqu/5011102205815/,奉城,奉贤
华盛佳园,5011102206858,https://sh.ke.com/xiaoqu/5011102206858/,奉城,奉贤
唐城街9号,5016635237248718,https://sh.ke.com/xiaoqu/5016635237248718/,奉城,奉贤
唐城街45号,5016635237248822,https://sh.ke.com/xiaoqu/5016635237248822/,奉城,奉贤
兰博路1515、1539、1541号,5020022871085016,https://sh.ke.com/xiaoqu/5020022871085016/,奉城,奉贤
浦东路155号,5020024450988956,https://sh.ke.com/xiaoqu/5020024450988956/,奉城,奉贤
洪庙社区,509977363956165,https://sh.ke.com/xiaoqu/509977363956165/,奉城,奉贤
褚聚小区,5011000003944,https://sh.ke.com/xiaoqu/5011000003944/,奉城,奉贤
褚聚街4号,5011000018901,https://sh.ke.com/xiaoqu/5011000018901/,奉城,奉贤
灯民小区,5011102206615,https://sh.ke.com/xiaoqu/5011102206615/,奉城,奉贤
南奉公路999弄40号,5012970475926158,https://sh.ke.com/xiaoqu/5012970475926158/,奉城,奉贤
洪新路21号,5012970508169637,https://sh.ke.com/xiaoqu/5012970508169637/,奉城,奉贤
洪新路22号,5012970508169638,https://sh.ke.com/xiaoqu/5012970508169638/,奉城,奉贤
洪新路23号,5012970508169639,https://sh.ke.com/xiaoqu/5012970508169639/,奉城,奉贤
头桥东路498弄14号,5012970736497366,https://sh.ke.com/xiaoqu/5012970736497366/,奉城,奉贤
头桥东路498弄,5014029473746314,https://sh.ke.com/xiaoqu/5014029473746314/,奉城,奉贤
嘉安公寓,5016389501103344,https://sh.ke.com/xiaoqu/5016389501103344/,奉城,奉贤
新奉公路6125弄,5016389501103367,https://sh.ke.com/xiaoqu/5016389501103367/,奉城,奉贤
褚聚北路2号,5016389501103568,https://sh.ke.com/xiaoqu/5016389501103568/,奉城,奉贤
川南奉公路9705弄,5016389501103594,https://sh.ke.com/xiaoqu/5016389501103594/,奉城,奉贤
人民路103弄,5016389545930063,https://sh.ke.com/xiaoqu/5016389545930063/,奉城,奉贤
新奉公路6328号,5016612386442455,https://sh.ke.com/xiaoqu/5016612386442455/,奉城,奉贤
