小区名称,response_id,url,板块名称,区名
乾溪新村,5011000016137,https://sh.ke.com/xiaoqu/5011000016137/,大场镇,宝山
上大阳光乾和园,5011000014385,https://sh.ke.com/xiaoqu/5011000014385/,大场镇,宝山
招商中环华府,509977363956057,https://sh.ke.com/xiaoqu/509977363956057/,大场镇,宝山
乾溪二村,5011000008430,https://sh.ke.com/xiaoqu/5011000008430/,大场镇,宝山
同济城市阳光,5011000001115,https://sh.ke.com/xiaoqu/5011000001115/,大场镇,宝山
骏华苑,5011000004053,https://sh.ke.com/xiaoqu/5011000004053/,大场镇,宝山
上大阳光乾澄园,5011000001692,https://sh.ke.com/xiaoqu/5011000001692/,大场镇,宝山
中环泰和里,5011000014949,https://sh.ke.com/xiaoqu/5011000014949/,大场镇,宝山
上大阳光乾龙苑,5011000001152,https://sh.ke.com/xiaoqu/5011000001152/,大场镇,宝山
上大阳光乾心园,5011000001585,https://sh.ke.com/xiaoqu/5011000001585/,大场镇,宝山
聚丰福邸,5011000001694,https://sh.ke.com/xiaoqu/5011000001694/,大场镇,宝山
和泰苑,509821540319362,https://sh.ke.com/xiaoqu/509821540319362/,大场镇,宝山
美诗邸,5011063494486,https://sh.ke.com/xiaoqu/5011063494486/,大场镇,宝山
南大路180弄,5011000008802,https://sh.ke.com/xiaoqu/5011000008802/,大场镇,宝山
君邑地中海,5011000009832,https://sh.ke.com/xiaoqu/5011000009832/,大场镇,宝山
美好家小区,5011000014709,https://sh.ke.com/xiaoqu/5011000014709/,大场镇,宝山
南大路190弄,5011000007451,https://sh.ke.com/xiaoqu/5011000007451/,大场镇,宝山
洛场路103号,5016389506369749,https://sh.ke.com/xiaoqu/5016389506369749/,大场镇,宝山
联建新村(宝山),5011000014051,https://sh.ke.com/xiaoqu/5011000014051/,大场镇,宝山
乾皓苑,5016389506370023,https://sh.ke.com/xiaoqu/5016389506370023/,大场镇,宝山
四季宜景园,5011000010408,https://sh.ke.com/xiaoqu/5011000010408/,大场镇,宝山
东华苑,5011000011232,https://sh.ke.com/xiaoqu/5011000011232/,大场镇,宝山
南大路86弄,5011102209657,https://sh.ke.com/xiaoqu/5011102209657/,大场镇,宝山
丰皓苑,5020027717703168,https://sh.ke.com/xiaoqu/5020027717703168/,大场镇,宝山
清水蓝湾,5011000012547,https://sh.ke.com/xiaoqu/5011000012547/,大场镇,宝山
南大路8弄,5011000018847,https://sh.ke.com/xiaoqu/5011000018847/,大场镇,宝山
南大路76弄,5011000019193,https://sh.ke.com/xiaoqu/5011000019193/,大场镇,宝山
洛中新村,5011000019649,https://sh.ke.com/xiaoqu/5011000019649/,大场镇,宝山
绿地即客LOFT,508435652111489,https://sh.ke.com/xiaoqu/508435652111489/,大场镇,宝山
南大路118弄,5011000007989,https://sh.ke.com/xiaoqu/5011000007989/,大场镇,宝山
上海朗悦酒店公寓,5011000003370,https://sh.ke.com/xiaoqu/5011000003370/,大场镇,宝山
南大路14弄,5010771466825891,https://sh.ke.com/xiaoqu/5010771466825891/,大场镇,宝山
沪太路4201弄,5011000018927,https://sh.ke.com/xiaoqu/5011000018927/,大场镇,宝山
南大路96弄,5011000019106,https://sh.ke.com/xiaoqu/5011000019106/,大场镇,宝山
南大路20弄,5011000019470,https://sh.ke.com/xiaoqu/5011000019470/,大场镇,宝山
南大路168号,5012970475926047,https://sh.ke.com/xiaoqu/5012970475926047/,大场镇,宝山
洛场路107号,5010956325793946,https://sh.ke.com/xiaoqu/5010956325793946/,大场镇,宝山
南大路16弄,5011102209656,https://sh.ke.com/xiaoqu/5011102209656/,大场镇,宝山
宝厦文璟苑,5020040378490677,https://sh.ke.com/xiaoqu/5020040378490677/,大场镇,宝山
南大路18弄,5011000020487,https://sh.ke.com/xiaoqu/5011000020487/,大场镇,宝山
