小区名称,response_id,url,板块名称,区名
永兆豪庭,5011882222596584,https://sh.ke.com/xiaoqu/5011882222596584/,漕河泾,徐汇
华悦家园,5011000002238,https://sh.ke.com/xiaoqu/5011000002238/,漕河泾,徐汇
桂林苑,5011000003525,https://sh.ke.com/xiaoqu/5011000003525/,漕河泾,徐汇
航天新苑,5011000013995,https://sh.ke.com/xiaoqu/5011000013995/,漕河泾,徐汇
欣嘉苑,5011000005508,https://sh.ke.com/xiaoqu/5011000005508/,漕河泾,徐汇
虹梅小区,5011000012400,https://sh.ke.com/xiaoqu/5011000012400/,漕河泾,徐汇
凯迪虹桥晶舍,5011000001916,https://sh.ke.com/xiaoqu/5011000001916/,漕河泾,徐汇
航天公寓,5011000003030,https://sh.ke.com/xiaoqu/5011000003030/,漕河泾,徐汇
东方康洛,5011000015510,https://sh.ke.com/xiaoqu/5011000015510/,漕河泾,徐汇
钦江大楼,5011000011926,https://sh.ke.com/xiaoqu/5011000011926/,漕河泾,徐汇
虹六小区,5011000019227,https://sh.ke.com/xiaoqu/5011000019227/,漕河泾,徐汇
钦江路47弄,5011000018430,https://sh.ke.com/xiaoqu/5011000018430/,漕河泾,徐汇
凤凰园,5011000003665,https://sh.ke.com/xiaoqu/5011000003665/,漕河泾,徐汇
光启园,5011000010052,https://sh.ke.com/xiaoqu/5011000010052/,漕河泾,徐汇
钦汇园,5011000011153,https://sh.ke.com/xiaoqu/5011000011153/,漕河泾,徐汇
虹钦园,5011000011365,https://sh.ke.com/xiaoqu/5011000011365/,漕河泾,徐汇
宝石园,5011000011765,https://sh.ke.com/xiaoqu/5011000011765/,漕河泾,徐汇
桂中园,5011000001706,https://sh.ke.com/xiaoqu/5011000001706/,漕河泾,徐汇
莲花大厦,5011000012196,https://sh.ke.com/xiaoqu/5011000012196/,漕河泾,徐汇
桂果园,5011102207303,https://sh.ke.com/xiaoqu/5011102207303/,漕河泾,徐汇
华鑫中心,5011102207473,https://sh.ke.com/xiaoqu/5011102207473/,漕河泾,徐汇
虹漕大楼,5011102207471,https://sh.ke.com/xiaoqu/5011102207471/,漕河泾,徐汇
新茂大楼,5011000015058,https://sh.ke.com/xiaoqu/5011000015058/,漕河泾,徐汇
明申商务广场,5011000016535,https://sh.ke.com/xiaoqu/5011000016535/,漕河泾,徐汇
钦州北路929号,5012970569249141,https://sh.ke.com/xiaoqu/5012970569249141/,漕河泾,徐汇
钦州北路919号,5020023244506117,https://sh.ke.com/xiaoqu/5020023244506117/,漕河泾,徐汇
