小区名称,response_id,url,板块名称,区名
保利·西塘越,5010860218822514,https://sh.ke.com/xiaoqu/5010860218822514/,嘉兴,金山
孔雀城,5010952323116207,https://sh.ke.com/xiaoqu/5010952323116207/,嘉兴,金山
融创江南悦,5020030353632995,https://sh.ke.com/xiaoqu/5020030353632995/,嘉兴,金山
好第坊,5020024673385804,https://sh.ke.com/xiaoqu/5020024673385804/,嘉兴,金山
东鼎名人府邸,5020024884207094,https://sh.ke.com/xiaoqu/5020024884207094/,嘉兴,金山
旭辉光耀城,5020031375411994,https://sh.ke.com/xiaoqu/5020031375411994/,嘉兴,金山
卡森卫星城,5020023924329051,https://sh.ke.com/xiaoqu/5020023924329051/,嘉兴,金山
翡翠公馆二期,5020026845004445,https://sh.ke.com/xiaoqu/5020026845004445/,嘉兴,金山
旭辉梦想城,5020027272916054,https://sh.ke.com/xiaoqu/5020027272916054/,嘉兴,金山
新西塘孔雀城,5020035371310841,https://sh.ke.com/xiaoqu/5020035371310841/,嘉兴,金山
碧桂园天凝源著,5020039459702674,https://sh.ke.com/xiaoqu/5020039459702674/,嘉兴,金山
新城海上风华,5020024431018923,https://sh.ke.com/xiaoqu/5020024431018923/,嘉兴,金山
旭辉未来城,5020039068546973,https://sh.ke.com/xiaoqu/5020039068546973/,嘉兴,金山
金水湾,5020041474408050,https://sh.ke.com/xiaoqu/5020041474408050/,嘉兴,金山
龙光玖台花苑,5020050926888555,https://sh.ke.com/xiaoqu/5020050926888555/,嘉兴,金山
小城春秋,5020035947273109,https://sh.ke.com/xiaoqu/5020035947273109/,嘉兴,金山
嘉汇城市广场,5010726255636809,https://sh.ke.com/xiaoqu/5010726255636809/,嘉兴,金山
蘭庭,5013062401437055,https://sh.ke.com/xiaoqu/5013062401437055/,嘉兴,金山
佳源优优华府,5020024431018437,https://sh.ke.com/xiaoqu/5020024431018437/,嘉兴,金山
新城金樾,5020028150966055,https://sh.ke.com/xiaoqu/5020028150966055/,嘉兴,金山
中都华庭,5020033285809023,https://sh.ke.com/xiaoqu/5020033285809023/,嘉兴,金山
龙湖·春江郦城,5020033464200371,https://sh.ke.com/xiaoqu/5020033464200371/,嘉兴,金山
嘉业阳光城,5011000004535,https://sh.ke.com/xiaoqu/5011000004535/,嘉兴,金山
凤凰花苑(嘉兴),5020023817314237,https://sh.ke.com/xiaoqu/5020023817314237/,嘉兴,金山
中南闻荷府,5020025824983580,https://sh.ke.com/xiaoqu/5020025824983580/,嘉兴,金山
万联花园,5011312458904062,https://sh.ke.com/xiaoqu/5011312458904062/,嘉兴,金山
万达新公馆,5020023242410408,https://sh.ke.com/xiaoqu/5020023242410408/,嘉兴,金山
西塘东区Ⅱ期,5020024356575784,https://sh.ke.com/xiaoqu/5020024356575784/,嘉兴,金山
复兴名邸,5020026139035503,https://sh.ke.com/xiaoqu/5020026139035503/,嘉兴,金山
新中花园,5020026474575297,https://sh.ke.com/xiaoqu/5020026474575297/,嘉兴,金山
融创海越府,5020030376892444,https://sh.ke.com/xiaoqu/5020030376892444/,嘉兴,金山
嘉善-星罗城,5020035974503553,https://sh.ke.com/xiaoqu/5020035974503553/,嘉兴,金山
江南国际城,5020042178079366,https://sh.ke.com/xiaoqu/5020042178079366/,嘉兴,金山
水岸丽都,5020023220391717,https://sh.ke.com/xiaoqu/5020023220391717/,嘉兴,金山
北大金城,5020024498177507,https://sh.ke.com/xiaoqu/5020024498177507/,嘉兴,金山
湘湖长岛,5020024652415629,https://sh.ke.com/xiaoqu/5020024652415629/,嘉兴,金山
水木晶华苑,5020026366570911,https://sh.ke.com/xiaoqu/5020026366570911/,嘉兴,金山
大运府邸东区,5020028059694036,https://sh.ke.com/xiaoqu/5020028059694036/,嘉兴,金山
嘉润万象城,5020031929482464,https://sh.ke.com/xiaoqu/5020031929482464/,嘉兴,金山
