小区名称,response_id,url,板块名称,区名
长宁馥邦苑,5011000018256,https://sh.ke.com/xiaoqu/5011000018256/,北新泾,长宁
北平家园,5011000014446,https://sh.ke.com/xiaoqu/5011000014446/,北新泾,长宁
仙霞大郡,5011000015241,https://sh.ke.com/xiaoqu/5011000015241/,北新泾,长宁
瑞冬小区,5011000005325,https://sh.ke.com/xiaoqu/5011000005325/,北新泾,长宁
世纪之春花园,5011000017351,https://sh.ke.com/xiaoqu/5011000017351/,北新泾,长宁
新泾七村,5011000014969,https://sh.ke.com/xiaoqu/5011000014969/,北新泾,长宁
虹康花苑(三期),5011000017287,https://sh.ke.com/xiaoqu/5011000017287/,北新泾,长宁
通协小区,5011000012776,https://sh.ke.com/xiaoqu/5011000012776/,北新泾,长宁
铭晖西郊苑,5011000016690,https://sh.ke.com/xiaoqu/5011000016690/,北新泾,长宁
紫竹小区,5011000017886,https://sh.ke.com/xiaoqu/5011000017886/,北新泾,长宁
淞虹公寓,5011000016081,https://sh.ke.com/xiaoqu/5011000016081/,北新泾,长宁
新泾一村,5011000013315,https://sh.ke.com/xiaoqu/5011000013315/,北新泾,长宁
新泾三村,5011000012746,https://sh.ke.com/xiaoqu/5011000012746/,北新泾,长宁
宜嘉坊,5011000014077,https://sh.ke.com/xiaoqu/5011000014077/,北新泾,长宁
新泾五村,5011000016005,https://sh.ke.com/xiaoqu/5011000016005/,北新泾,长宁
华松西区（仙霞西路700弄）,5011000004110,https://sh.ke.com/xiaoqu/5011000004110/,北新泾,长宁
淞虹苑,5011000012715,https://sh.ke.com/xiaoqu/5011000012715/,北新泾,长宁
樱源晶舍,5011000016383,https://sh.ke.com/xiaoqu/5011000016383/,北新泾,长宁
剑河家苑,5011000010945,https://sh.ke.com/xiaoqu/5011000010945/,北新泾,长宁
新泾四村,5011000013982,https://sh.ke.com/xiaoqu/5011000013982/,北新泾,长宁
绿园一村,5011000015294,https://sh.ke.com/xiaoqu/5011000015294/,北新泾,长宁
新泾八村,5011000015494,https://sh.ke.com/xiaoqu/5011000015494/,北新泾,长宁
新泾六村,5011000003360,https://sh.ke.com/xiaoqu/5011000003360/,北新泾,长宁
金虹苑小区,5011000012719,https://sh.ke.com/xiaoqu/5011000012719/,北新泾,长宁
红梅小区(长宁),5011000003458,https://sh.ke.com/xiaoqu/5011000003458/,北新泾,长宁
金菊小区,5011000012391,https://sh.ke.com/xiaoqu/5011000012391/,北新泾,长宁
剑河小区,5011000017885,https://sh.ke.com/xiaoqu/5011000017885/,北新泾,长宁
永馨小区,5011000014176,https://sh.ke.com/xiaoqu/5011000014176/,北新泾,长宁
虹康花苑(一期),5020021434144928,https://sh.ke.com/xiaoqu/5020021434144928/,北新泾,长宁
新泾二村,5011000017228,https://sh.ke.com/xiaoqu/5011000017228/,北新泾,长宁
虹园一村,5011000013811,https://sh.ke.com/xiaoqu/5011000013811/,北新泾,长宁
虹园六村,5011000014766,https://sh.ke.com/xiaoqu/5011000014766/,北新泾,长宁
金钟小区,5011000010603,https://sh.ke.com/xiaoqu/5011000010603/,北新泾,长宁
虹康花苑(二期),5020021450917677,https://sh.ke.com/xiaoqu/5020021450917677/,北新泾,长宁
沁秋小区,5011000013114,https://sh.ke.com/xiaoqu/5011000013114/,北新泾,长宁
碧夏小区,5011000012198,https://sh.ke.com/xiaoqu/5011000012198/,北新泾,长宁
天蒲小区,5011000010379,https://sh.ke.com/xiaoqu/5011000010379/,北新泾,长宁
虹园八村,5011000012681,https://sh.ke.com/xiaoqu/5011000012681/,北新泾,长宁
绿园十一村,5011000012930,https://sh.ke.com/xiaoqu/5011000012930/,北新泾,长宁
绿园五村,5011000012377,https://sh.ke.com/xiaoqu/5011000012377/,北新泾,长宁
金淞家园,5011000014449,https://sh.ke.com/xiaoqu/5011000014449/,北新泾,长宁
广友小区,5011000014527,https://sh.ke.com/xiaoqu/5011000014527/,北新泾,长宁
北虹公寓,5011000016241,https://sh.ke.com/xiaoqu/5011000016241/,北新泾,长宁
翠春小区,5011000003722,https://sh.ke.com/xiaoqu/5011000003722/,北新泾,长宁
馨虹小区,5011000008875,https://sh.ke.com/xiaoqu/5011000008875/,北新泾,长宁
淞虹新苑,5020048813640001,https://sh.ke.com/xiaoqu/5020048813640001/,北新泾,长宁
广顺小区,5011000010947,https://sh.ke.com/xiaoqu/5011000010947/,北新泾,长宁
虹福小区,5011247831756618,https://sh.ke.com/xiaoqu/5011247831756618/,北新泾,长宁
协和家园,5011000000615,https://sh.ke.com/xiaoqu/5011000000615/,北新泾,长宁
郁庭峰,5011000014970,https://sh.ke.com/xiaoqu/5011000014970/,北新泾,长宁
绿园十二村,5011000008857,https://sh.ke.com/xiaoqu/5011000008857/,北新泾,长宁
新泾北苑,5011000012013,https://sh.ke.com/xiaoqu/5011000012013/,北新泾,长宁
馨兰小区,5011000013092,https://sh.ke.com/xiaoqu/5011000013092/,北新泾,长宁
定威小区,5011000013187,https://sh.ke.com/xiaoqu/5011000013187/,北新泾,长宁
哈密路428弄,5011102207893,https://sh.ke.com/xiaoqu/5011102207893/,北新泾,长宁
可乐公馆,5011000010807,https://sh.ke.com/xiaoqu/5011000010807/,北新泾,长宁
绿园十村,5011000008225,https://sh.ke.com/xiaoqu/5011000008225/,北新泾,长宁
兴霞小区,5011000014040,https://sh.ke.com/xiaoqu/5011000014040/,北新泾,长宁
协和小区(协和路699弄),5011000016597,https://sh.ke.com/xiaoqu/5011000016597/,北新泾,长宁
天申大楼,5011000012675,https://sh.ke.com/xiaoqu/5011000012675/,北新泾,长宁
绿园四村,5011000016919,https://sh.ke.com/xiaoqu/5011000016919/,北新泾,长宁
华松东区 （仙霞西路630弄）,5020049112582022,https://sh.ke.com/xiaoqu/5020049112582022/,北新泾,长宁
春房小区,5011000004394,https://sh.ke.com/xiaoqu/5011000004394/,北新泾,长宁
福泉路450弄,5011000007842,https://sh.ke.com/xiaoqu/5011000007842/,北新泾,长宁
平塘人家,5011000005370,https://sh.ke.com/xiaoqu/5011000005370/,北新泾,长宁
仙霞西路715弄,5011000007403,https://sh.ke.com/xiaoqu/5011000007403/,北新泾,长宁
协和苑,5011000011377,https://sh.ke.com/xiaoqu/5011000011377/,北新泾,长宁
帝豪苑,5011000014928,https://sh.ke.com/xiaoqu/5011000014928/,北新泾,长宁
福泉苑,5011000015607,https://sh.ke.com/xiaoqu/5011000015607/,北新泾,长宁
协虹苑,5011000014803,https://sh.ke.com/xiaoqu/5011000014803/,北新泾,长宁
虹康家园,5011000020189,https://sh.ke.com/xiaoqu/5011000020189/,北新泾,长宁
虹康新苑,5011000012674,https://sh.ke.com/xiaoqu/5011000012674/,北新泾,长宁
平和公寓,5011102207968,https://sh.ke.com/xiaoqu/5011102207968/,北新泾,长宁
协合花苑,5011000012449,https://sh.ke.com/xiaoqu/5011000012449/,北新泾,长宁
天山西路199弄,5020031494056871,https://sh.ke.com/xiaoqu/5020031494056871/,北新泾,长宁
北平南园,509821540057875,https://sh.ke.com/xiaoqu/509821540057875/,北新泾,长宁
虹康福苑,5011000018810,https://sh.ke.com/xiaoqu/5011000018810/,北新泾,长宁
仙霞西路635弄,5011000007442,https://sh.ke.com/xiaoqu/5011000007442/,北新泾,长宁
天山雅苑,5011000012193,https://sh.ke.com/xiaoqu/5011000012193/,北新泾,长宁
复新小区,5011063202227,https://sh.ke.com/xiaoqu/5011063202227/,北新泾,长宁
福泉路398弄,5011000004075,https://sh.ke.com/xiaoqu/5011000004075/,北新泾,长宁
新泾路120弄,5011000007367,https://sh.ke.com/xiaoqu/5011000007367/,北新泾,长宁
蒲淞北路19号,5010592198864727,https://sh.ke.com/xiaoqu/5010592198864727/,北新泾,长宁
清池苑,5011000012750,https://sh.ke.com/xiaoqu/5011000012750/,北新泾,长宁
馥邦兆城大厦,5011000005517,https://sh.ke.com/xiaoqu/5011000005517/,北新泾,长宁
蒲淞北路25弄,5011102207929,https://sh.ke.com/xiaoqu/5011102207929/,北新泾,长宁
清池路102号,509821540057258,https://sh.ke.com/xiaoqu/509821540057258/,北新泾,长宁
甘溪路207号,509821540319234,https://sh.ke.com/xiaoqu/509821540319234/,北新泾,长宁
哈密路432号,509977363956129,https://sh.ke.com/xiaoqu/509977363956129/,北新泾,长宁
仙霞里,50000000006542,https://sh.ke.com/xiaoqu/50000000006542/,北新泾,长宁
北大街31弄,5010592198864683,https://sh.ke.com/xiaoqu/5010592198864683/,北新泾,长宁
淞虹小区,5011000012805,https://sh.ke.com/xiaoqu/5011000012805/,北新泾,长宁
旭辉虹桥国际广场,5011000014191,https://sh.ke.com/xiaoqu/5011000014191/,北新泾,长宁
蒲淞北路35号,5010592198864550,https://sh.ke.com/xiaoqu/5010592198864550/,北新泾,长宁
