小区名称,response_id,url,板块名称,区名
高兴花园,5011000014981,https://sh.ke.com/xiaoqu/5011000014981/,春申,闵行
银河新都,5011000014004,https://sh.ke.com/xiaoqu/5011000014004/,春申,闵行
上海春城,5011000015954,https://sh.ke.com/xiaoqu/5011000015954/,春申,闵行
春申景城湖滨晨韵,5011000003337,https://sh.ke.com/xiaoqu/5011000003337/,春申,闵行
春申景城湖畔林语,5011000005041,https://sh.ke.com/xiaoqu/5011000005041/,春申,闵行
蔷薇新村,5011000011738,https://sh.ke.com/xiaoqu/5011000011738/,春申,闵行
虹景苑,5011000017336,https://sh.ke.com/xiaoqu/5011000017336/,春申,闵行
华唐苑,5011000016052,https://sh.ke.com/xiaoqu/5011000016052/,春申,闵行
中海寰宇天下,5011000001308,https://sh.ke.com/xiaoqu/5011000001308/,春申,闵行
中城绿苑,5011000015203,https://sh.ke.com/xiaoqu/5011000015203/,春申,闵行
春申景城MIDTOWN,5020024503480736,https://sh.ke.com/xiaoqu/5020024503480736/,春申,闵行
银泰苑,5011000010800,https://sh.ke.com/xiaoqu/5011000010800/,春申,闵行
中冶锦城,5011000003714,https://sh.ke.com/xiaoqu/5011000003714/,春申,闵行
绿地春申花园,5011000015164,https://sh.ke.com/xiaoqu/5011000015164/,春申,闵行
中春三水苑,5011000004290,https://sh.ke.com/xiaoqu/5011000004290/,春申,闵行
常兴家园,5011000013572,https://sh.ke.com/xiaoqu/5011000013572/,春申,闵行
祥生瑞和苑,5011000002518,https://sh.ke.com/xiaoqu/5011000002518/,春申,闵行
莲花新村,5011000013445,https://sh.ke.com/xiaoqu/5011000013445/,春申,闵行
都市宜家苑,5011000012208,https://sh.ke.com/xiaoqu/5011000012208/,春申,闵行
虹梅菁典,5011000004894,https://sh.ke.com/xiaoqu/5011000004894/,春申,闵行
徐汇芳邻,5011000013542,https://sh.ke.com/xiaoqu/5011000013542/,春申,闵行
春馨苑,5011000012699,https://sh.ke.com/xiaoqu/5011000012699/,春申,闵行
森安苑,5011000015539,https://sh.ke.com/xiaoqu/5011000015539/,春申,闵行
江南欣苑(闵行),5011000014912,https://sh.ke.com/xiaoqu/5011000014912/,春申,闵行
薇馨家园,5011000012669,https://sh.ke.com/xiaoqu/5011000012669/,春申,闵行
万科燕南园,5011000012213,https://sh.ke.com/xiaoqu/5011000012213/,春申,闵行
银兆公寓,5011000001062,https://sh.ke.com/xiaoqu/5011000001062/,春申,闵行
普乐三村,5011000012848,https://sh.ke.com/xiaoqu/5011000012848/,春申,闵行
锦梅馨苑,5011000004858,https://sh.ke.com/xiaoqu/5011000004858/,春申,闵行
源梦苑,5011000015531,https://sh.ke.com/xiaoqu/5011000015531/,春申,闵行
虹梅南苑,5011000003761,https://sh.ke.com/xiaoqu/5011000003761/,春申,闵行
银都名墅,5011000015153,https://sh.ke.com/xiaoqu/5011000015153/,春申,闵行
锦乐馨苑东苑,5011102207133,https://sh.ke.com/xiaoqu/5011102207133/,春申,闵行
普乐二村,5011000003298,https://sh.ke.com/xiaoqu/5011000003298/,春申,闵行
蔷薇八村,5011000012297,https://sh.ke.com/xiaoqu/5011000012297/,春申,闵行
虹山半岛别墅,5011000017519,https://sh.ke.com/xiaoqu/5011000017519/,春申,闵行
好世麒麟园,5011000014869,https://sh.ke.com/xiaoqu/5011000014869/,春申,闵行
锦乐馨苑西苑,5011102207134,https://sh.ke.com/xiaoqu/5011102207134/,春申,闵行
金丰佳园,5011102206950,https://sh.ke.com/xiaoqu/5011102206950/,春申,闵行
月光流域,5011000012588,https://sh.ke.com/xiaoqu/5011000012588/,春申,闵行
曹建路201弄,5011000006086,https://sh.ke.com/xiaoqu/5011000006086/,春申,闵行
