小区名称,response_id,url,板块名称,区名
绿地时代名邸,5011102207525,https://sh.ke.com/xiaoqu/5011102207525/,白鹤,青浦
绿地启航城,5011000001967,https://sh.ke.com/xiaoqu/5011000001967/,白鹤,青浦
绿地时代嘉苑,5015867777945213,https://sh.ke.com/xiaoqu/5015867777945213/,白鹤,青浦
欣雨佳苑,5011000012057,https://sh.ke.com/xiaoqu/5011000012057/,白鹤,青浦
西晶明园,5011000007319,https://sh.ke.com/xiaoqu/5011000007319/,白鹤,青浦
鹤祥苑,5011000001524,https://sh.ke.com/xiaoqu/5011000001524/,白鹤,青浦
镇南小区,5011000000031,https://sh.ke.com/xiaoqu/5011000000031/,白鹤,青浦
時代名邸,5020033487048539,https://sh.ke.com/xiaoqu/5020033487048539/,白鹤,青浦
赵江路186弄,5011102208476,https://sh.ke.com/xiaoqu/5011102208476/,白鹤,青浦
外青松公路2900号,5016389398891518,https://sh.ke.com/xiaoqu/5016389398891518/,白鹤,青浦
外青松公路2885弄,5011000019174,https://sh.ke.com/xiaoqu/5011000019174/,白鹤,青浦
白鹤镇北小区,5011000018743,https://sh.ke.com/xiaoqu/5011000018743/,白鹤,青浦
霞浦小区,5011000018747,https://sh.ke.com/xiaoqu/5011000018747/,白鹤,青浦
白石路2742弄,5011000018993,https://sh.ke.com/xiaoqu/5011000018993/,白鹤,青浦
白鹤镇鹤翔路181弄,5020020425236427,https://sh.ke.com/xiaoqu/5020020425236427/,白鹤,青浦
外青松公路2798弄,5011000000943,https://sh.ke.com/xiaoqu/5011000000943/,白鹤,青浦
民惠佳苑(六区),5011102207853,https://sh.ke.com/xiaoqu/5011102207853/,白鹤,青浦
屯北新村,5011000019653,https://sh.ke.com/xiaoqu/5011000019653/,白鹤,青浦
赵江路31弄,5011000019406,https://sh.ke.com/xiaoqu/5011000019406/,白鹤,青浦
白鹤新村,5011000020286,https://sh.ke.com/xiaoqu/5011000020286/,白鹤,青浦
鹤祥路181弄,5011000019176,https://sh.ke.com/xiaoqu/5011000019176/,白鹤,青浦
民惠佳苑三期,50000000000983,https://sh.ke.com/xiaoqu/50000000000983/,白鹤,青浦
外青松公路2723弄,5011000006030,https://sh.ke.com/xiaoqu/5011000006030/,白鹤,青浦
赵江路46弄,5016389506369719,https://sh.ke.com/xiaoqu/5016389506369719/,白鹤,青浦
赵中路31弄,509977363956199,https://sh.ke.com/xiaoqu/509977363956199/,白鹤,青浦
白石路2659弄,5011000019259,https://sh.ke.com/xiaoqu/5011000019259/,白鹤,青浦
外青松公路2772弄,5011000019605,https://sh.ke.com/xiaoqu/5011000019605/,白鹤,青浦
白石公路2659弄,5016389501104057,https://sh.ke.com/xiaoqu/5016389501104057/,白鹤,青浦
時代名邸,5020033540519503,https://sh.ke.com/xiaoqu/5020033540519503/,白鹤,青浦
屯溪公寓,509821540057273,https://sh.ke.com/xiaoqu/509821540057273/,白鹤,青浦
鹤如路98弄,509977363956290,https://sh.ke.com/xiaoqu/509977363956290/,白鹤,青浦
国际美车城,5011000005142,https://sh.ke.com/xiaoqu/5011000005142/,白鹤,青浦
外青松公路2963弄,5011000020329,https://sh.ke.com/xiaoqu/5011000020329/,白鹤,青浦
外青松公路2965弄,5011102208358,https://sh.ke.com/xiaoqu/5011102208358/,白鹤,青浦
鹤祥路276弄,5011102208441,https://sh.ke.com/xiaoqu/5011102208441/,白鹤,青浦
鹤祥路293号,5016389545929776,https://sh.ke.com/xiaoqu/5016389545929776/,白鹤,青浦
鹤如路99号,5016389545929816,https://sh.ke.com/xiaoqu/5016389545929816/,白鹤,青浦
白石路2753弄,5016389558274186,https://sh.ke.com/xiaoqu/5016389558274186/,白鹤,青浦
新桥路661号,5020026196703728,https://sh.ke.com/xiaoqu/5020026196703728/,白鹤,青浦
赵江路208弄,5020026691832334,https://sh.ke.com/xiaoqu/5020026691832334/,白鹤,青浦
程鹤路1111号,5020027207889913,https://sh.ke.com/xiaoqu/5020027207889913/,白鹤,青浦
程鹤路1237号,5020027207890400,https://sh.ke.com/xiaoqu/5020027207890400/,白鹤,青浦
梅桥街148-146号,5020028480372074,https://sh.ke.com/xiaoqu/5020028480372074/,白鹤,青浦
外青松公路2902号,509821540057689,https://sh.ke.com/xiaoqu/509821540057689/,白鹤,青浦
鹤江路141弄,509977363956231,https://sh.ke.com/xiaoqu/509977363956231/,白鹤,青浦
万科尚景苑(公寓),5011000001091,https://sh.ke.com/xiaoqu/5011000001091/,重固,青浦
佳兆业君汇上品,5017182165577237,https://sh.ke.com/xiaoqu/5017182165577237/,重固,青浦
逸皓华庭(公寓),5011000019251,https://sh.ke.com/xiaoqu/5011000019251/,重固,青浦
现代华庭(公寓),5011000014172,https://sh.ke.com/xiaoqu/5011000014172/,重固,青浦
新里波洛克公馆,5020024558017739,https://sh.ke.com/xiaoqu/5020024558017739/,重固,青浦
金都虹桥公馆,5011102207413,https://sh.ke.com/xiaoqu/5011102207413/,重固,青浦
夏阳金城,5011000012949,https://sh.ke.com/xiaoqu/5011000012949/,重固,青浦
万科尚源(公寓),5011000010207,https://sh.ke.com/xiaoqu/5011000010207/,重固,青浦
万科尚景苑(别墅),5011102207640,https://sh.ke.com/xiaoqu/5011102207640/,重固,青浦
逸皓华庭(别墅),5011000019254,https://sh.ke.com/xiaoqu/5011000019254/,重固,青浦
现代华庭(别墅),5011000020038,https://sh.ke.com/xiaoqu/5011000020038/,重固,青浦
金城上品(公寓),5011000004837,https://sh.ke.com/xiaoqu/5011000004837/,重固,青浦
康博佳苑,5011000001689,https://sh.ke.com/xiaoqu/5011000001689/,重固,青浦
万科尚源(别墅),5011000011379,https://sh.ke.com/xiaoqu/5011000011379/,重固,青浦
福定路386弄,5011102207666,https://sh.ke.com/xiaoqu/5011102207666/,重固,青浦
摩登蜂巢,5011000020100,https://sh.ke.com/xiaoqu/5011000020100/,重固,青浦
金城上品(别墅),5011000011177,https://sh.ke.com/xiaoqu/5011000011177/,重固,青浦
